Recording timestamp [ms];Computer timestamp [ms];Sensor;Project name;Export date;Participant name;Recording name;Recording date;Recording date UTC;Recording start time;Recording start time UTC;Recording duration [ms];Timeline name;Recording Fixation filter name;Recording software version;Recording resolution height [px];Recording resolution width [px];Recording monitor latency [ms];Average calibration accuracy [mm];Average calibration precision SD [mm];Average calibration precision RMS [mm];Average calibration accuracy [°];Average calibration precision SD [°];Average calibration precision RMS [°];Average calibration accuracy [px];Average calibration precision SD [px];Average calibration precision RMS [px];Average validation accuracy [mm];Average validation precision SD [mm];Average validation precision RMS [mm];Average validation accuracy [°];Average validation precision SD [°];Average validation precision RMS [°];Average validation accuracy [px];Average validation precision SD [px];Average validation precision RMS [px];Eyetracker timestamp [μs];Event;Event value;Gaze point X [DACS px];Gaze point Y [DACS px];Gaze point left X [DACS px];Gaze point left Y [DACS px];Gaze point right X [DACS px];Gaze point right Y [DACS px];Gaze direction left X [DACS norm];Gaze direction left Y [DACS norm];Gaze direction left Z [DACS norm];Gaze direction right X [DACS norm];Gaze direction right Y [DACS norm];Gaze direction right Z [DACS norm];Pupil diameter left [mm];Pupil diameter right [mm];Pupil diameter filtered [mm];Validity left;Validity right;Eye position left X [DACS mm];Eye position left Y [DACS mm];Eye position left Z [DACS mm];Eye position right X [DACS mm];Eye position right Y [DACS mm];Eye position right Z [DACS mm];Gaze point left X [DACS mm];Gaze point left Y [DACS mm];Gaze point right X [DACS mm];Gaze point right Y [DACS mm];Gaze point X [MCS norm];Gaze point Y [MCS norm];Gaze point left X [MCS norm];Gaze point left Y [MCS norm];Gaze point right X [MCS norm];Gaze point right Y [MCS norm];Presented Stimulus name;Presented Media name;Presented Media width [px];Presented Media height [px];Presented Media position X [DACS px];Presented Media position Y [DACS px];Original Media width [px];Original Media height [px];Eye movement type;Eye movement event duration [ms];Eye movement type index;Fixation point X [DACS px];Fixation point Y [DACS px];Fixation point X [MCS norm];Fixation point Y [MCS norm];Ungrouped;Client area position X [px];Client area position Y [px];Viewport position X [px];Viewport position Y [px];Viewport width [px];Viewport height [px];Full page width [px];Full page height [px];Mouse position X [DACS px];Mouse position Y [DACS px]
66;1626833723;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612708529;;;260;31;359;82;161;-19;-0,24994;-0,41004;-0,87715;-0,3901;-0,41911;-0,81986;4,965;4,885;4,925;Valid;Valid;277;311,2;609,8;334,7;303,8;606,3;103,2;26,2;46,2;-6,2;;;;;;;;;;;;;;;Unclassified;17;1;;;;;;;;;;;;;;;
99;1626833756;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612742011;;;204;118;195;183;213;52;-0,31536;-0,36104;-0,87761;-0,37638;-0,39545;-0,83783;4,581;4,689;4,66;Valid;Valid;276,5;310,9;613,2;334,3;303,6;608;56,1;58,6;61,2;16,6;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
116;1626833773;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612758495;;;218;112;217;174;218;49;-0,30673;-0,36571;-0,87873;-0,37441;-0,39689;-0,83803;4,632;4,677;4,629;Valid;Valid;276,5;310,9;613,3;334,2;303,6;607,8;62,4;55,6;62,7;15,8;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
149;1626833806;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612791931;;;203;121;199;179;208;63;-0,31366;-0,36384;-0,87706;-0,37906;-0,39329;-0,83764;4,516;4,649;4,587;Valid;Valid;275,8;311;611,4;333,2;303,9;604,3;57,1;57,3;59,7;20,1;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
166;1626833823;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612808461;;;204;116;197;169;212;62;-0,31365;-0,36783;-0,8754;-0,37766;-0,39401;-0,83793;4,526;4,635;4,579;Valid;Valid;275,8;311;611,4;333,1;303,9;604,1;56,7;54,1;60,8;19,8;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
199;1626833856;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612841851;;;218;109;221;167;216;51;-0,30377;-0,36996;-0,87798;-0,37482;-0,3988;-0,83694;4,518;4,598;4,563;Valid;Valid;275,1;310,9;611,5;332,3;303,8;603,6;63,5;53,3;62;16,2;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
249;1626833906;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612891771;;;215;117;219;179;210;55;-0,30428;-0,36527;-0,87977;-0,37624;-0,39727;-0,83703;4,552;4,618;4,574;Valid;Valid;274,4;311;611,2;331,6;303,9;603,2;63;57,2;60,4;17,6;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
266;1626833923;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612908393;;;200;116;194;176;207;56;-0,31347;-0,36551;-0,87644;-0,37751;-0,39673;-0,83672;4,51;4,623;4,566;Valid;Valid;274,4;311;611,2;331,5;303,9;603,1;55,8;56,1;59,4;18;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
299;1626833956;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612941691;;;204;120;194;177;214;64;-0,31261;-0,36542;-0,87678;-0,37508;-0,39441;-0,8389;4,481;4,63;4,563;Valid;Valid;273,9;311,3;611,4;331,1;304,2;603,2;55,9;56,4;61,4;20,5;;;;;;;;;;;;;;;Fixation;216;1;211;109;;;;;;;;;;;;;
316;1626833973;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612958359;;;231;114;215;159;247;68;-0,30404;-0,37331;-0,87647;-0,36389;-0,39488;-0,8436;4,484;4,636;4,557;Valid;Valid;273,9;311,3;611,4;331,2;304,2;603,3;61,8;50,9;70,9;21,8;;;;;;;;;;;;;;;Saccade;50;1;;;;;;;;;;;;;;;
332;1626833989;Eye Tracker;pilot_study;1/9/2026;ab***;Recording7;12/12/2025;12/12/2025;10:02:52.855;03:02:52.855;148388;Timeline1;Tobii I-VT (Fixation);25.19.1151;1080;1920;10;18,1;;;2,2;;;63;;;18,8;2,7;3,4;2,29;0,33;0,42;65;9;12;6612974820;;;503;116;456;157;549;74;-0,21011;-0,38309;-0,8995;-0,25227;-0,4072;-0,87781;4,525;4,625;4,553;Valid;Valid;274,4;311,4;613,4;331,8;304,4;605;131,1;50,2;157,9;23,7;;;;;;;;;;;;;;;Saccade;50;1;;;;;;;;;;;;;;;
